Timestamp,RL,RR,MR
20230517-1103,12924,4371,6
20230518-1126,12933,4378,6
20230519-1116,12941,4380,6
20230520-1106,12951,4383,6
20230521-1045,12937,4382,6
20230522-1138,12920,4377,6
20230523-1108,12920,4379,6
20230524-1107,12921,4382,6
20230525-1121,12922,4387,6
20230527-1046,12924,4389,6
20230528-1045,12917,4385,6
20230529-1103,12905,4382,6
20230530-1112,12914,4385,6
20230531-1104,12924,4382,6
20230601-1106,12935,4372,6
20230602-1106,12924,4377,6
20230603-1047,12930,4375,6
20230604-1041,12921,4368,6
20230605-1056,12908,4362,6
20230606-1051,12926,4363,6
20230607-1104,12936,4366,6
20230608-1102,12948,4371,6
20230609-1110,12956,4373,6
20230610-1052,12969,4382,6
20230611-1042,12964,4376,6
20230612-1118,12947,4373,6
20230613-1056,12956,4373,6
20230614-1116,12957,4376,6
20230615-1117,12964,4375,6
20230616-1056,12973,4377,6
20230617-1047,12975,4380,6
20230618-1052,12965,4379,6
20230619-1058,12948,4375,6
20230620-1055,12949,4377,6
20230621-1121,12958,4379,6
20230622-1037,12962,4383,6
20230623-1108,12951,4381,6
20230624-1042,12961,4386,6
20230625-1047,12954,4385,6
20230626-1122,12939,4379,6
20230627-1107,12948,4385,6
20230628-1055,12953,4384,6
20230629-1046,12955,4382,6
20230630-1103,12781,4337,4
20230701-1047,12828,4349,4
20230702-1037,12816,4347,4
20230703-1057,12795,4341,4
20230704-1042,12811,4336,4
20230705-1046,12805,4346,4
20230706-1041,12817,4350,4
20230707-1113,12835,4348,4
20230708-1037,12872,4353,4
20230709-1031,12860,4346,4
20230710-1042,12836,4342,4
20230711-1056,12845,4341,4
20230712-1106,12877,4348,4
20230713-1051,12885,4354,4
20230714-1058,12894,4361,4
20230715-1037,12908,4363,4
20230716-1303,12899,4359,4
20230717-1321,12884,4354,4
20230718-1423,12854,4344,4
20230719-1108,12871,4350,4
20230720-1113,12892,4351,4
20230721-1122,12903,4361,4
20230722-1104,12929,4370,4
20230723-1113,12919,4369,4
20230724-1128,12908,4368,4
20230726-1148,12919,4374,4
20230727-1128,12930,4380,4
20230728-1128,12927,4385,4
20230729-1105,12932,4388,4
20230730-1057,12923,4384,4
20230731-1115,12909,4379,4
20230801-1128,12911,4379,4
20230802-1118,12923,4381,4
20230803-1108,12934,4393,4
20230804-1117,12943,4400,4
20230805-1056,12958,4401,4
20230806-1111,12948,4399,4
20230807-1052,12929,4391,4
20230808-1123,12944,4396,4
20230809-1102,12958,4399,4
20230810-1112,12967,4405,4
20230811-1102,12974,4408,4
20230812-1056,12987,4412,5
20230813-1055,12981,4409,5
20230814-1103,12969,4403,5
20230815-1111,12980,4405,5
20230816-1133,12989,4403,5
20230817-1051,12988,4403,5
20230818-1055,12995,4404,5
20230819-1058,13002,4404,5
20230820-1037,13000,4399,5
20230821-1047,12991,4397,5
20230822-1103,12999,4398,5
20230823-1107,13013,4393,5
20230824-1113,13018,4403,5
20230825-1056,13020,4407,5
20230826-1041,13019,4406,5
20230827-1028,13016,4405,5
20230828-1103,13013,4400,5
20230829-1128,13016,4402,5
20230830-1052,13035,4409,5
20230831-1106,13032,4410,5
20230901-1056,13037,4412,5
20230902-1036,13021,4408,5
20230903-1030,13014,4403,5
20230904-1047,13006,4402,5
20230905-1104,13012,4408,5
20230906-1051,13014,4409,5
20230907-1113,13012,4404,5
20230908-1313,13022,4414,5
20230909-1104,13011,4412,5
20230910-1057,13001,4410,5
20230911-1117,12991,4410,5
20230912-1130,12997,4413,5
20230913-1131,13007,4416,5
20230914-1516,13013,4424,5
20230915-1103,13016,4427,5
20230916-1121,13012,4423,5
20230917-1056,13002,4422,5
20230918-1105,12995,4420,5
20230919-1108,13012,4426,5
20230920-2135,13012,4427,5
20230921-1131,13019,4430,5
20230922-1150,13027,4435,5
20230923-1102,13030,4439,5
20230924-1111,13024,4438,5
20230925-1133,13022,4430,5
20230926-1117,13026,4434,5
20230927-1120,13030,4435,5
20230928-1143,13046,4434,5
20230929-1102,13053,4441,5
20230930-1102,13057,4442,5
20231001-1111,13056,4440,5
20231002-1122,13041,4435,5
20231003-1212,13027,4430,5
20231004-1134,13030,4431,5
20231005-1143,13036,4432,5
20231006-1131,13039,4431,5
20231007-1113,13042,4435,5
20231008-1137,13034,4431,5
20231009-1117,13025,4426,5
20231010-1133,13024,4429,5
20231011-1204,13030,4430,5
20231012-1151,13033,4434,5
20231013-1232,13038,4438,5
20231014-1138,13038,4441,5
20231015-1148,13030,4439,5
20231016-1151,13024,4436,5
20231017-1142,13034,4436,5
20231018-1136,13046,4435,5
20231019-1113,13048,4440,5
20231020-1110,13048,4438,5
20231021-1110,13058,4436,5
20231022-1113,13050,4435,5
20231023-1128,13036,4429,5
20231024-1152,13025,4425,5
20231025-1110,13027,4428,5
20231026-1205,13038,4429,5
20231027-1146,13040,4429,5
20231028-1113,13046,4430,5
20231029-1111,13045,4429,5
20231030-1116,13037,4428,5
20231031-1122,13043,4431,5
20231101-1107,13044,4433,5
20231102-1116,13047,4436,5
20231103-1156,13057,4431,5
20231104-1102,13060,4429,5
20231105-1105,13051,4429,5
20231106-1118,13049,4426,5
20231107-1123,13043,4423,5
20231108-1110,13049,4423,5
20231109-1113,13055,4432,5
20231110-1353,13053,4439,5
20231111-1311,13063,4440,5
20231112-1117,13054,4440,5
20231113-1056,13048,4437,5
20231114-1111,13049,4439,5
20231115-1107,13050,4436,5
20231116-1105,13047,4433,5
20231117-1521,13062,4440,5
20231118-1058,13071,4437,5
20231119-1052,13067,4436,5
20231120-1102,13057,4434,5
20231121-1113,13053,4436,5
20231122-1110,13063,4440,5
20231123-1116,13067,4439,5
20231124-1046,13068,4439,5
20231125-1056,13077,4439,5
20231126-1051,13071,4437,5
20231127-1126,13067,4433,5
20231128-1106,13078,4433,5
20231129-1058,13084,4440,5
20231130-1106,13083,4440,5
20231201-1102,13083,4449,5
20231202-1037,13087,4454,5
20231203-1035,13079,4449,5
20231204-1041,13065,4445,5
20231205-1058,13061,4447,5
20231206-1104,13055,4452,5
20231207-1038,13059,4451,5
20231208-1049,13051,4448,5
20231209-1053,13062,4454,5
20231210-1051,13053,4451,5
20231211-1057,13039,4449,5
20231212-1104,13048,4453,5
20231213-1053,13060,4456,5
20231214-1113,13054,4457,5
20231215-1057,13062,4459,5
20231216-1130,13062,4460,5
20231217-1048,13057,4458,5
20231218-1041,13046,4453,5
20231219-1528,13056,4452,5
20231220-1057,13058,4449,5
20231221-1056,13062,4453,5
20231222-1112,13063,4453,5
20231223-1113,13070,4462,5
20231225-0043,13070,4462,5
20231225-1051,13070,4461,5
20231226-1053,13065,4460,5
20231227-1046,13048,4456,5
20231228-1055,13047,4456,5
